run,model,dataset,cap,n,median,mean,min,max
Dec09_12-16-16_d4e65e7af705,gatqsat,flat30-60,10,100,2.0000,2.0892,1.0000,5.6667
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat30-60,10,100,1.8333,1.9989,0.5000,4.3333
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat30-60,10,100,1.6667,1.8641,0.4545,5.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat30-60,50,100,2.0000,2.0892,1.0000,5.6667
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat30-60,50,100,1.8333,2.0003,0.6111,4.3333
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat30-60,50,100,1.6667,1.8601,0.3750,5.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat30-60,100,100,2.0000,2.0892,1.0000,5.6667
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat30-60,100,100,1.8333,1.9980,0.6111,4.3333
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat30-60,100,100,1.6667,1.8601,0.3750,5.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat30-60,300,100,2.0000,2.0892,1.0000,5.6667
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat30-60,300,100,1.8333,2.0003,0.6111,4.3333
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat30-60,300,100,1.6667,1.8601,0.3750,5.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat30-60,500,100,2.0000,2.0892,1.0000,5.6667
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat30-60,500,100,1.8333,1.9980,0.6111,4.3333
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat30-60,500,100,1.6667,1.8601,0.3750,5.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat30-60,1000,100,2.0000,2.0892,1.0000,5.6667
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat30-60,1000,100,1.8333,2.0003,0.6111,4.3333
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat30-60,1000,100,1.6667,1.8601,0.3750,5.5000
Dec09_12-16-16_d4e65e7af705,gatqsat,flat50-115,10,100,2.2500,2.5585,0.7692,7.5000
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat50-115,10,100,1.7500,1.9461,0.5000,6.2857
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat50-115,10,100,1.5000,1.7754,0.4286,6.6667
Dec09_12-16-16_d4e65e7af705,gatqsat,flat50-115,50,100,2.2500,2.5629,0.7692,7.5000
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat50-115,50,100,1.7778,1.9323,0.4783,6.2857
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat50-115,50,100,1.4722,1.7417,0.3600,6.6667
Dec09_12-16-16_d4e65e7af705,gatqsat,flat50-115,100,100,2.2500,2.5629,0.7692,7.5000
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat50-115,100,100,1.7778,1.9323,0.4783,6.2857
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat50-115,100,100,1.4722,1.7417,0.3600,6.6667
Dec09_12-16-16_d4e65e7af705,gatqsat,flat50-115,300,100,2.2500,2.5629,0.7692,7.5000
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat50-115,300,100,1.7778,1.9323,0.4783,6.2857
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat50-115,300,100,1.4722,1.7417,0.3600,6.6667
Dec09_12-16-16_d4e65e7af705,gatqsat,flat50-115,500,100,2.2500,2.5629,0.7692,7.5000
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat50-115,500,100,1.7778,1.9323,0.4783,6.2857
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat50-115,500,100,1.4722,1.7417,0.3600,6.6667
Dec09_12-16-16_d4e65e7af705,gatqsat,flat50-115,1000,100,2.2500,2.5629,0.7692,7.5000
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat50-115,1000,100,1.7778,1.9323,0.4783,6.2857
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat50-115,1000,100,1.4722,1.7417,0.3600,6.6667
Dec09_12-16-16_d4e65e7af705,gatqsat,flat75-180,10,100,2.8167,3.3875,0.4783,16.3333
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat75-180,10,100,2.1458,2.5711,0.4571,7.0000
Nov13_03-55-51_c42e8ad320d8,gatqsat,flat75-180,10,100,1.5963,2.1339,0.4706,12.2500
Dec09_12-16-16_d4e65e7af705,gatqsat,flat75-180,50,100,2.9444,3.4953,0.5789,16.3333
Nov12_14-06-54_c42e8ad320d8,gatqsat,flat75-180,50,100,2.0833,2.5768,0.3902,7.0000
